id;name;email;headquarters_location;r_and_d_location;country;product;employeestrength;revenues;telephone;website;productionvolumes;keycustomers;region;foundingyear;keymanagement;rate;offeringproducts;customerneeds;technologyuse;competitiveadvantage;challenges;recentnews;strategicpartenrship;comments;businessstrategies;revenue;ebit;operatingcashflow;investingcashflow;freecashflow;roce;equityratio;employeesperregion;pricingstrategy;productlaunch;ceo;cfo;cto;rdhead;saleshead;productionhead;keydecisionmarker;financialyear
26;Fuji Carbon; t.asai@fuji-carbon.co.jp;;1.11.Nishikl-Machi, Anjo City, Aich Pref.. Japan.;Japan;Brush;;;-642;https://www.fujl-carbon.co.jp;;Koki Holdings Co., Ltd., Hitachi Astemo, Ltd., Makita Corporation, Mitsuba Corporation, Mitsubishi Electric Trading Corporation, Union Machinery Co., Ltd.;East_Asia;1935;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;Toyo tanso;n.komoda@toyotanso.co.jp;;OSAKA UMEDA TWIN TOWERS SOUTH,16th F!1-13-1 Umeda, Kita-ku, Osaka 530-0001,Japan;Japan;Brush;;;-8016;www.toyotanso.co.jp;;BOSCH?LG?PANASONIC?Hitachi ;East_Asia;1947;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;Hehai;"
102659594@qq.com";;Qinggang Industrial and Trade Economic Development Zone, Bishan District, Chongqing City,china;China;Brush;;;"023-41784588
";NA;;Hengshui,jincheng;East_Asia;2001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;Zigong;dongxin_xs@163.com;;15 Rongchuan Road, Yantan District, Zigong City, Sichuan Province, China;China;Brush;;;+86 0813?2606452;http://en.zgdongtan.com/;;;East_Asia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;Karben;supermotor@aliyun.com;;No. 8, Leshan Road, Zhongyi Ningbo Ecological Park, Yuyao City, Zhejiang Province;China;Brush;;;8 615 013 825 430;http://karben-material.com/wzsy;;;East_Asia;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;Zhuzhou Weite;;;Auxiliary Building, No. 7, Changjiang Baoshi Road, Industrial Zone 5, Tiantai Science and Technology Park, Tianyuan District, Zhuzhou City, Hunan Province;China;Brush;;;13908437477;;;;East_Asia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;Weihai Xinguang;gmdt1986@163.com;;No. 73, Jiashan Road, Chucun Town, Gaoxin District, Weihai City.china;China;Brush;;;"0631-5652543
";www.gtcarbon.cn;;Bosch,Brose,EDHK,DKK,YIDA,GAC,CHCD,Prestolite;East_Asia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;Fenghua;NA;;Fenghua Road, Duanzhou District, Zhaoqing City, Guangdong Province;China;Choke;;;NA;http://www.china-fenghua.com/;;YFAM,L&V,Farwon;East_Asia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;Clicke;NA;;Building 7, ZhengZhong Industrial Park, QiaoTou Village, FuYong Town, BaoAn District, ShenZhen, China;China;Choke;;;86-755-29918117;http://www.clickele.com;;JE,CCL;East_Asia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;Vicco;NA;;No.10 Lixue road,Qingxi Town,Dongguan,Guangdong Province,China;China;Choke;;;NA;http://www.dgvicco.com/;;Igarishi;East_Asia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;Shunluo;eric_wang@sunlordinc.com;;Shunluo Industrial Park, Dafuyuan, Guanlan, Guangguang Road, Longhua District, Shenzhen City;China;Choke;;;+86-135 1084 6204;https://www.sunlordinc.com/;;Huawei, Tesla, BYD, Desay SV;East_Asia;2000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;DMEGC;rcgyk@dmegc.com;;Hengdian Industrial Zone, Dongyang City, Zhejiang Province;China;Choke;;;;https://www.dmegc.com.cn/;;;East_Asia;1980;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;Sinomag;sunnyz@sinomagtech.com;;23/F, Building 1, Swan Lake Wanda Plaza, No.3818 South Second Ring Road, Hefei, Anhui, China;China;Choke;;;86-551-62860011/62865330;http://www.sinomagtech.com/;;Bosch, Denso, Continental;East_Asia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;Kekai;"qikai01@126.com
";;Room 506, Building 1, No. 999 Jiangyue Road, Minhang District, Shanghai;China;Choke;;;021 - 64919500;;;YFAM,Brose;East_Asia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;Haitian;;;Fenggang town,Dongguan, Guangdong;China;Choke;;;;https://www.haitian.com/en/;;Qiangrun;East_Asia;1966;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;Delta;;;No. 145, Gaoxinxi Road, Jianghai District, Jiangmen, Guangdong;China;Choke;;;0750-3839987;;;Farwon, Iboss, Mabuchi, Brose;East_Asia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;Jinquanhua;2305051@jqh.cc;;Jingquanhua Industrial Park, No. 325 Guiyue Road, Guanlan Sub-district, Longhua District, Shenzhen City;China;Choke;;300 million;;http://www.jqhgroup.com/;;;East_Asia;;;;;;;;;;;;;;~ $1500 Million;;;~ $1500 Million;;;;;;;;;;;;;
43;Schunk Carbon Technology Ltd;infobox@schunk-group.com;;Rodheimer StraBe 59, 35452 Heuchelheim, Germany;Germany;Bushing;;1.67 billion;6416080;https://www.schunk-group.com/;;;Europe;1913;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;SGL;mechanical-europe@sglcarbon.com;;Wiesbaden, Hesse, Germany;Germany;Bushing;;106000;+49 228 841-0;https://www.sglcarbon.com/en/markets-solutions/applications/wind-energy-generators/;;NA;Europe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;IGUS;cnmaster@igus.net;; Cologne, Germany;Germany;Bushing;;;021-8036 6999 ? 4007203100;https://www.igus.cn/;;;Europe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;EKK ;;;Japan;Japan;Bushing;;;;EKK | Automotive sealing and control solution provider (ekk-europe.com);;;East_Asia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;Torch;sealinfo@cntorch.com;;Zhuzhou;China;Seals;;55M RMB;73 127 622 816;http://www.torchsparkplug.com/;;Mainly for AF market worldwide;East_Asia;1984;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;Hongchen;;;Changzhou;China;Seals;;45M RMB;;http://www.cn-hongcheng.com;;Mainly for AF market worldwide;East_Asia;1982;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;Fangli;"sealsworld@sealsworld.com
";;Ningbo;China;Seals;;50M RMB;0519-86158786;https://www.sealsworld.com/;;Mainly for AF market worldwide;East_Asia;1987;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;Morgan Advanced Material;francesca.minett@morganplc.com;;Sheet Street, Windsor, SL4 1BY, United Kingdom;United Kingdom;Brush;;1.3 Billion;+44 (0) 01753 837000;https://www.morganadvancedmaterials.com/en-gb/;;Vestas, Siemens, Gamesa, Nordex, Repower, and Senvion;Europe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
51;Carbotech;info@carbotech.it;;Via Dell'industria, 64025 Pineto Teramo, Italy;Italy;Brush;;NA;39 086 179 561;https://www.carbotech.it/index.php?id=41&lang=en;;Bosch, Brose;Europe;;;;;;;;;;;;;;~ $1500 Million;;;~ $1500 Million;;;;;;;;;;;;;
52;Schunk Carbon Technology Ltd.;infobox@schunk-group.com;;Rodheimer StraBe 59, 35452 Heuchelheim, Germany;Germany;Brush;;1.67 billion;6416080;https://www.schunk-group.com/;;;Europe;1913;;;;;;;;;;;;;;;;;;;;;;;;;Thomas Baumgartner;Christophe Bommier;;;
53;Mersen;vertrieb.eggolsheim@mersen.com;;Courbevoie, Hauts-de-Seine, France;France;Brush;;1.3 Billion;+43 (0) 5513 4113;https://www.mersen.in/;;Marrquardt, APTIV, Webasto, Preh;Europe;1891;;;;;;;;;;;;;;;;;;;;;;;Thomas Baumgartner;Christophe Bommier;;;;;
54;Premo ;;;;Spain;Choke;;;;https://grupopremo.com/;;;Europe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
55;vacuumschmelze;"	info@vacuumschmelze.com";Gruner Weg 37, 63450 Hanau;Gruener Weg 37 63450 Hanau, Germany;Germany;Choke;;;+49 6181 38 0;VAC - Advanced Magnetic Solutions | VAC (vacuumschmelze.com);;;Europe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
56;Wurth Electronics;info@we-online.com;"	Max-Eyth-Strasse 1, 74638 Waldenburg";Max-Eyth-Strasse 1, 74638 Waldenburg, Germany;Germany;Choke;;;;https://www.we-online.com/en;;;Europe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
57;TDK Epcos;"	info@tdk-electronics.tdk.com";Rosenheimer StraBe 141 e, 81671 Munich;Rosenheimer Strasse 141 e, 81671 Munich, Germany;Germany;Choke;;;;Power Line Common Mode Chokes/Filters | Products | TDK Product Center;;;Europe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58;Prax;"	enquiries@prax.com";"	1st Floor, 1 London Road, Brentford TW8 8JB";Spain;Spain;Choke;;;;Common mode chokes - Prax Power (prax-power.com);;;Europe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59;CECLA ;;;France;France;Choke;;;;https://www.ceclaindustrie.fr/fr/;;;Europe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60;TPE GROUP;rainer.abel@tpe.group;"Waidplatzstr. 6-8
79331 Teningen, Germany";"Waidplatzstr. 6-8
79331 Teningen, Germany";Europe;Choke;;;491 732 630 152;https://tpe.group/fr/home-2/;;;Europe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
61;TALEMA GROUP;sales@talema.com;Sembdnerstr. 5, 82110 Germering;Germany;France;Choke;;;;https://talema.com/fr/;;;Europe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
62;Kaco;"	info@kaco-newenergy.com";Industriestrasse 19, 74613 Ohringen;Germany;Germany;Seals;;;;Dynamic seals - KACO - Der Experte fur Dichtungssysteme;;;Europe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63;Burgmann;info@eagleburgmann.com;"	AuBere Sauerlacher Str. 6-10, 82515 Wolfratshausen";France;France;Seals;;;;www.eagleburgmann.fr;;;Europe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
64;Lidering;"	lidering@lidering.com";Carrer de la Metallurgia, 8, 08755 Castellbisbal, Barcelona;France;France;Seals;;;;www.lidering.com/fr;;;Europe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65;MTU;"	info@mtu.de";Dachauer StraBe 665, 80995 Munich;Friedrichshafen, Germany;Germany;Seals;;;;www.meccanotecnicaumbra.com;;;Europe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
66;Latty;"	contact@latty.com";1 Rue Xavier Latty, 28160 Brou;Lyon, France;France;Seals;;;;www.latty.com;;;Europe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
67;Aeseal;"	enquiries@aesseal.com";Mill Close, Bradmarsh Business Park, Rotherham S60 1BZ;Sheffield, United Kingdom;United Kingdom;Seals;;;;www.aesseal.com;;;Europe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
68;Roten;"	info@roten.it";"	Via G. di Vittorio, 8, 20090 Assago MI";Germany (specific city not provided);Germany;Seals;;;;www.roten.it;;;Europe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69;Emi France;;"	118 Rue du Mont-Cenis, 75018 Paris";France ;France ;Seals;;;;www.emifrance.fr;;;Europe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70;Etamec;;;France ;France ;Seals;;;;www.etamec.com;;;Europe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
71;Kroma;;;Germany ;Germany ;Seals;;;;www.kroma.co.rs;;;Europe;;;;;;;;;;;;;;;;;;;;;;;;;;Yanfang Sun;;;;
72;Kaco;sales@kaco.de ;"DaimlerstraBe 5
74912 Kirchardt / Germany";Neckarsulm, Germany;Germany;Seals;;;;http://www.kaco.de;;;Europe;;;;;;;;;;;;;;;;;;;;;;;;Yanfang Sun;;;;;;
73;MSG;;;Germany;Germany;Seals;;;;http://mechanical-seals-germany.com/fr/;;;Europe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
74;Atec;;;France;France;Seals;;;;www.atecfrance.fr;;;Europe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75;SGL;mechanical-europe@sglcarbon.com;;Wiesbaden, Hesse, Germany;Germany;Brush;;106000;+49 228 841-0;https://www.sglcarbon.com/en/markets-solutions/applications/wind-energy-generators/;;NA;Europe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
76;MTU;;;IT;Italy;Seals;;;;Mechanical seals for pumps | Meccanotecnica Umbra;;;Europe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
77;FASTRON GROUP;;;Germany;Germany;Choke;;;;https://www.fastrongroup.com/;;;Europe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
78;AVISOR;;;Spain;Spain;Choke;;;;https://www.avisor.es/en/home/;;;Europe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
79;Schaffner;;;Germany;Germany;Choke;;;;Common and Differential Mode Chokes | Schaffner Holding AG;;;Europe;;;;;;;;;;;;;;;;;;;;;;;;;;Thomas Baumgartner;Christophe Bommier;;;
80;Mersen ;veronique.boca@mersen.com;;Rond-Point De La Defense, 92400 Courbevoie, France;France;Brush;;1.3 Billion;+33 (0)3 22 54 45 00;https://www.mersen.com/;;;Europe;1891;;;;;;;;;;;;;;;;;;;;;;;Thomas Baumgartner;Christophe Bommier;Olivier Leonetti;;;;
81;Eaton;support@eaton.com;"	1000 Eaton Blvd, Beachwood, OH 44122, USA";USA;USA;Choke;94000;;;https://www.eaton.com/us/en-us.html;;;NAFTA;1911;;;;;;;;;;;;;~ $400 Million;;;~ $400 Million;;;;;;;Olivier Leonetti;;;;;;
82;Pulse Electronics;info@pulseelectronics.com;123 Tech Park, San Diego, CA 92121, USA;12220 World Trade Dr, San Diego, CA 92128;USA;Choke;;;;http://www.pulseelectronics.com/;;;NAFTA;;;;;;;;;;;;;;~1400 Million;;;~1400 Million;;;;;;;;;;;;;
83;KEMET;sales@kemet.com;2835 KEMET Way, Simpsonville, SC 29681, USA;"	2835 KEMET Way, Simpsonville, SC 29681";USA;Choke;;;;https://www.kemet.com/en/us.html;;;NAFTA;;;;;;;;;;;;;;;;;;;;;;;;;;;Mike Eason;;;
84;John Crane;info@johncrane.com;6400 Oakton St, Morton Grove, IL 60053, USA;Chicago, Illinois, USA;USA;Seals;6000;;;www.johncrane.com;;;NAFTA;1917;;;;;;;;;;;;;~ $400 Million;;;~ $400 Million;;;;;;;;Mike Eason;;;;;
85;Chesterton;info@chesterton.com;860 Salem St, Groveland, MA 01834, USA;Groveland, Massachusetts, USA;USA;Seals;;;;www.chesterton.com;;;NAFTA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
86;Vulcan;info@vulcanmaterials.com;1200 Urban Center Dr, Birmingham, AL 35242, USA;Birmingham, Alabama, USA;USA;Seals;;;;www.vulcan-eng.com;;;NAFTA;;;;;;;;;;;;;;~ $ 1000 Million;;;~ $ 1000 Million;;;;;;;;;;;;;
87;Avon;support@avon.com;1 Liberty Plaza, New York, NY 10006, USA;Lakewood, Ohio, USA;USA;Seals;23000;;;http://www.avonseals.com/;;;NAFTA;1886;;;;;;;;;;;;;~ $ 300 Million;;;~ $ 300 Million;;;;;;;;;;;;;
88;Garlock;info@garlock.com;1666 Division St, Palmyra, NY 14522, USA;Palmyra, New York, USA;USA;Seals;;;;www.garlock.com;;;NAFTA;;;;;;;;;;;;;;~ $200 Million;;;~ $200 Million;;;;;;;;;;;;;
89;Coilcraft;sales@coilcraft.com;1102 Silver Lake Rd, Cary, IL 60013, USA;1102 Silver Lake Road, Cary, IL 60013;USA;Choke;;;;https://www.coilcraft.com/;;;NAFTA;;;;;;;;;;;;;;~ 500 Million;;;~ 500 Million;;;;;;;;;;;;;
90;Bourns;info@bourns.com;1200 Columbia Ave, Riverside, CA 92507, USA;Riverside, CA 92507-2129, USA;USA;Choke;9000;;+1 951-781-550;https://www.bourns.com/;;;NAFTA;1947;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
91;TRIS;info@tris.com;789 Innovation Dr, Austin, TX 73301, USA;789 Innovation Dr, Austin, TX 73301, USA;12220 World Trade Dr, San Diego, CA 92128;Brush;;;;www.tris.com;;;NAFTA;;;;;;;;;;;;;;~ 100 Million;;;~ 100 Million;;;;;;;;;;;;;
92;Saint Mary's Carbon;info@stmaryscarbon.com;"	259 Eberl St, St Marys, PA 15857, USA";259 Eberl St, St Marys, PA 15857, USA;USA;Brush;;;;https://www.stmaryscarbon.com/;;;NAFTA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
93;Vazel;info@vazel.com;321 Graphite Ln, Pittsburgh, PA 15222, USA;321 Graphite Ln, Pittsburgh, PA 15222, USA;Mexico;Seals;;;;http://www.vazel.com/;;;NAFTA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
94;SGL;mechanical-europe@sglcarbon.com;Wiesbaden, Hesse, Germany;Germany;Germany;Brush;4783;106000;+49 228 841-0;https://www.sglcarbon.com/en/markets-solutions/applications/wind-energy-generators/;NA;NA;Europe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
95;Mersen;vertrieb.eggolsheim@mersen.com;Courbevoie, Hauts-de-Seine, France;https://www.mersen.in/;France;Brush;6968;14.35;+43 (0) 5513 4113;https://www.mersen.in/;NA;Marrquardt, APTIV, Webasto, Preh;Europe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
96;Schunk;dong-gyun.choi@kr.schunk-group.com;Germany;Germany;South Korea;Assembly;143;;+82 31 491 2722;https://www.schunk-group.com/carbon-technology/en;;;East_Asia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
97;AUPAC India;vickygulati1978@gmail.com;Japan;Japan;India;Brush;70;;;https://aupac.co.jp/;;Igarishi / Inteva;South_Asia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
98;Pune Carbon;pcpl53@gmail.com;India;India;India;Brush;100;0.3125;9 623 837 630;;;All After market segment;South_Asia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
99;Meccanotecnica- India;india@mtu-group.com;Italy;Italy;India;Seals;50;;4 543 238 222;https://www.meccanotecnica.in/;;Autolec / Devendra / Sogefi;South_Asia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100;Carbotech;info@carbotech.it;Via Dell'industria, 64025 Pineto Teramo, Italy;Via Dell'industria, 64025 Pineto Teramo, Italy;Italy;Brush;NA;NA;39 086 179 561;https://www.carbotech.it/index.php?id=41&lang=en;NA;Bosch, Brose;Europe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
101;Okaea Electronics;okhaeindia@gmail.com;Korea;Korea;India;Choke;80;;9 958 047 093;http://okhae.co.kr/en/;;Hyundai Polytec / DY Auto;East_Asia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
102;Premo ;;;Spain;Spain;Choke;;;;https://grupopremo.com/;;;Europe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
103;AVON Seals;sales@avonseals.com,;India;India;India;Seals;125;;4 442 254 995;www.avonseals.com;;All OE after market segment;South_Asia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
104;Delta Electronics;info@deltaelectronicsindia.com;Taiwan;Taiwan;India;Choke;;;9 500 071 275;www.deltaww.com;;Lucas / kinetic ;South_Asia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
105;vacuumschmelze;;Gruener Weg 37 63450 Hanau, Germany;Germany;Germany;Choke;;;+49 6181 38 0;VAC - Advanced Magnetic Solutions | VAC (vacuumschmelze.com);;;Europe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
106;Wurth Electronics;;;Germany;Germany;Choke;;;;https://www.we-online.com/en;;;Europe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
107;ITG;;;China;China;Choke;;;;ITG Electronics (itg-electronics.com);;;East_Asia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
108;TDK Epcos;;;;Germany;Choke;;;;Power Line Common Mode Chokes/Filters | Products | TDK Product Center;;;Europe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
109;Eaton;;USA;USA;USA;Choke;;;;https://www.eaton.com/us/en-us.html;;;NAFTA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
